[  212935.305630] EV_KEY       BTN_TOUCH            DOWN                
[  212935.762447] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.762450] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.762452] EV_ABS       ABS_MT_POSITION_X    000004ff            
[  212935.762455] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.762457] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.762460] EV_SYN       SYN_REPORT           00000000            
[  212935.772382] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.772400] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.772402] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.772405] EV_ABS       ABS_MT_POSITION_X    00000502            
[  212935.772407] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.772410] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.772412] EV_SYN       SYN_REPORT           00000000            
[  212935.782378] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.782404] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.782406] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.782408] EV_ABS       ABS_MT_POSITION_X    00000506            
[  212935.782411] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.782413] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.782416] EV_SYN       SYN_REPORT           00000000            
[  212935.792406] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.792422] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.792424] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.792427] EV_ABS       ABS_MT_POSITION_X    0000050a            
[  212935.792429] EV_ABS       ABS_MT_POSITION_Y    000001ea            
[  212935.792432] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.792434] EV_SYN       SYN_REPORT           00000000            
[  212935.802271] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.802304] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.802307] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.802309] EV_ABS       ABS_MT_POSITION_X    00000511            
[  212935.802312] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.802314] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.802317] EV_SYN       SYN_REPORT           00000000            
[  212935.812223] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.812247] EV_ABS       ABS_MT_TOUCH_MAJOR   00000060            
[  212935.812250] EV_ABS       ABS_MT_PRESSURE      00000060            
[  212935.812253] EV_ABS       ABS_MT_POSITION_X    00000518            
[  212935.812255] EV_ABS       ABS_MT_POSITION_Y    000001e9            
[  212935.812258] EV_SYN       SYN_MT_REPORT        00000000            
[  212935.812261] EV_SYN       SYN_REPORT           00000000            
[  212935.822247] EV_ABS       ABS_MT_TRACKING_ID   00000000            
[  212935.822271] EV_ABS       ABS_MT_TOUCH_MAJOR   00000040            
[  212935.822274] EV_ABS       ABS_MT_PRESSURE      00000040            
[  212935.822277] EV_ABS       ABS_MT_POSITION_X    0000051f            
